delta,N,M,OptionPrice
0.5,100,50,22.227250035058855
0.5,100,75,22.21228906541183
0.5,100,100,22.204811910418233
0.5,100,150,22.197338644609424
0.5,100,200,22.193603834258642
0.5,100,250,22.19136361157545
0.5,150,50,23.22053981589309
0.5,150,75,23.204522740612237
0.5,150,100,23.196517668298153
0.5,150,150,23.188516610887344
0.5,150,200,23.184517961720182
0.5,150,250,23.182119456401253
0.5,200,50,24.13673676200076
0.5,200,75,24.120292338112094
0.5,200,100,24.112074649497767
0.5,200,150,24.10386159274834
0.5,200,200,24.099757183146394
0.5,200,250,24.0972952998848
0.5,250,50,24.742370410032112
0.5,250,75,24.725566887236614
0.5,250,100,24.717210122785406
0.5,250,150,24.70885840409814
0.5,250,200,24.704684825197425
0.5,250,250,24.702181493518715
0.75,50,50,17.93042269123922
0.75,50,75,17.916089423372163
0.75,50,100,17.908945416222608
0.75,50,150,17.901816516174158
0.75,50,200,17.898257794815752
0.75,50,250,17.896124420026872
0.75,75,50,19.54869801563006
0.75,75,75,19.530700344042025
0.75,75,100,19.52175042084352
0.75,75,150,19.512834007805527
0.75,75,200,19.50838855569792
0.75,75,250,19.505725405342535
0.75,100,50,21.28359331902184
0.75,100,75,21.264217546650098
0.75,100,100,21.254592911042295
0.75,100,150,21.24501051905571
0.75,100,200,21.24023517014431
0.75,100,250,21.237375031607787
0.75,150,50,22.752443140363848
0.75,150,75,22.7311549307486
0.75,150,100,22.72058522619227
0.75,150,150,22.71006475244108
0.75,150,200,22.70482289240674
0.75,150,250,22.701683637739716
0.75,200,50,23.61697036668276
0.75,200,75,23.594631308795687
0.75,200,100,23.58354131599799
0.75,200,150,23.572503865188498
0.75,200,200,23.56700473468898
0.75,200,250,23.563711502415078
0.75,250,50,24.555553203540818
0.75,250,75,24.53282817470355
0.75,250,100,24.52154822210744
0.75,250,150,24.510322776948986
0.75,250,200,24.504730375823595
0.75,250,250,24.50138141137261
1.0,50,50,14.918658684440627
1.0,50,75,14.906251550423308
1.0,50,100,14.899973229638178
1.0,50,150,14.893650764599226
1.0,50,200,14.890474519155454
1.0,50,250,14.888564347511345
1.0,75,50,18.18445987742367
1.0,75,75,18.16814824815436
1.0,75,100,18.16001781432211
1.0,75,150,18.151906049807657
1.0,75,200,18.14785758411772
1.0,75,250,18.14543097379613
1.0,100,50,20.17968253768335
1.0,100,75,20.1616302899579
1.0,100,100,20.152650916660892
1.0,100,150,20.143703804174063
1.0,100,200,20.1392425719698
1.0,100,250,20.13656982385521
1.0,150,50,21.844921672316996
1.0,150,75,21.824483514698233
1.0,150,100,21.814328047245223
1.0,150,150,21.804215161718513
1.0,150,200,21.799174716552244
1.0,150,250,21.796155574029022
1.0,200,50,22.830557931173047
1.0,200,75,22.80881796148513
1.0,200,100,22.798018149958665
1.0,200,150,22.78726509115339
1.0,200,200,22.781906082452927
1.0,200,250,22.778696280612177
1.0,250,50,23.943852361701822
1.0,250,75,23.921656961395662
1.0,250,100,23.91063288265738
1.0,250,150,23.899657790114272
1.0,250,200,23.89418858863956
1.0,250,250,23.890912931961548
1.5,50,50,11.89949733238633
1.5,50,75,11.893773104831324
1.5,50,100,11.890658793907564
1.5,50,150,11.887380084414453
1.5,50,200,11.885680382336767
1.5,50,250,11.884641613501103
1.5,75,50,15.535960985008977
1.5,75,75,15.523460745194232
1.5,75,100,15.51714036179951
1.5,75,150,15.51077939809366
1.5,75,200,15.50758534563468
1.5,75,250,15.505664970892731
1.5,100,50,17.8943310891532
1.5,100,75,17.87900505656265
1.5,100,100,17.87135001512823
1.5,100,150,17.863703513546643
1.5,100,200,17.859884224624093
1.5,100,250,17.857594091371602
1.5,150,50,19.836608499237265
1.5,150,75,19.81799261620029
1.5,150,100,19.808732311138073
1.5,150,150,19.799504746146845
1.5,150,200,19.794903443651258
1.5,150,250,19.792146698237698
1.5,200,50,21.724969745871487
1.5,200,75,21.705227588123474
1.5,200,100,21.695415767653
1.5,200,150,21.685643775660893
1.5,200,200,21.680772775727444
1.5,200,250,21.677854986480508
1.5,250,50,22.383340480409146
1.5,250,75,22.362375353399926
1.5,250,100,22.35195798281264
1.5,250,150,22.341584165853263
