,zip_code,latitude,longitude,high demand,current_0-5,current_total,updated_0-5,updated_total,ratio_0-5,ratio_total,updated_ratio_0-5,updated_ratio_total
38,10069,40.778555853626024,-73.98789266029601,0,5,16,505.0,1016.0,0.007246376811594203,0.01228878648233487,0.7318840579710145,0.7803379416282642
39,10075,40.7141209446381,-74.00624930435724,0,0,235,850.0,1935.0,0.0,0.09564509564509564,0.6838294448913917,0.7875457875457875
40,10128,40.78099470154894,-73.95017523854169,0,0,301,1900.0,4101.0,0.0,0.054371387283237,0.680759584378359,0.7407875722543352
41,10280,40.710404449532255,-74.01620093449414,0,0,509,250.0,1009.0,0.0,0.8330605564648118,0.7861635220125787,1.65139116202946
42,10282,40.716688878920806,-74.01352191312066,0,0,279,300.0,879.0,0.0,0.20454545454545456,0.7177033492822966,0.6444281524926686
43,10301,40.63184576979716,-74.0918493925657,0,121,1905,1921.0,5505.0,0.04352517985611511,0.31613010288748755,0.6910071942446043,0.9135413209425821
56,10452,40.837815841922605,-73.92219774954188,0,1145,6869,3645.0,11869.0,0.20966855887200148,0.43729309905780495,0.6674601721296466,0.7556022408963585
57,10453,40.85305666704923,-73.91474444884685,0,1155,6825,3655.0,11825.0,0.21092037983929876,0.42956948640483383,0.6674579985390796,0.7442724068479355
60,10456,40.83041398225364,-73.90881096982764,0,923,7167,4523.0,14367.0,0.1373920809764811,0.41637134723755304,0.6732658529324204,0.8346598501132865
219,11215,40.667072992037745,-73.98249790371247,0,362,3125,2762.0,7925.0,0.06337535014005602,0.25191455058444173,0.4835434173669468,0.6388553002821443
